client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546232.mp3	3a394b486bd279a248a97e4b25a7fdd6257673e517c4c40538d3ff55a2a18b53	যেতিয়া বাঘ মৰাৰ দিন পৰিলহি।		1	0	twenties	male_masculine			as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546234.mp3	45bafcda2c668c04359c1fde2f7b776717a0055592422ea079fc54271ef74b83	ৰাধা ৰাসমণ্ডলৰ গোপীসকলৰ ভিতৰত সৰ্বশ্ৰেষ্ঠ।		1	0	twenties	male_masculine			as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546433.mp3	4056b14a93d5e8bf5c3b52327d4aeca419230d02924a109c12db3e5deb8fe916	তাৰে এটাত নৃত্যৰতা সতী।		1	1	twenties	male_masculine			as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32841048.mp3	2351029c111943efa61179324522683e90cec54ba76a6c4f8bd7042c4e2b65a5	কালিয়েই কুৰি দিন পূৰ হ'ল।		0	0	twenties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32843578.mp3	3c0e02dabccbdeb57faa8d24a0a2a91a1bdba1e7f90eff248fb5baff03081aed	চাৰিচুকীয়া দীঘলী পুখুৰীৰ ব্ৰহ্মপুত্ৰৰ লগত সংযোগ আছিল।		0	0	twenties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32843794.mp3	46b41049901a1d356798269a659557925d3ac3c12cd34a6e0ab5a154e1144b44	তেওঁবিলাকৰ পোহ-পালতে আমি ইমান ডাঙৰ দীঘল হলোঁ।		0	0	twenties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32844081.mp3	5058d50d22cfbc76f4cdeed12a26f46d2d9a3af59ac31d3af36eaedb84a7ef98	এৰী কাটিবলৈ কৈছে তাকে কৰিছো।		0	0	twenties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32844169.mp3	53cd6ff580412f9a087c1f2dc7e81c0941e6dc007b6d0154e2290ae35a8872c1	কথাটো দেখি সকলো আচৰিত হ'ল।		0	0	twenties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32849992.mp3	56a9db3e896798cc251b750edbc136f7118a1980d202f9b431cccebbcfb28125	এনে অধিকাৰ সকলো গোলামৰ ভাগ্যত নঘটে।		0	0	thirties	male_masculine	Gaonlia		as	
062a55bf8558d9613788c5fd5e88899ba243bdb6ec92de1a11d8be75dc144b9a96dcd79e863c3144fd8ce38e5d1e4ec3d6152186c0296fb2fbdd42c085064217	common_voice_as_32850071.mp3	4e1edd152c2653baa0bfd7774f1e945d4d1d4781f0c951daac28cd11f2e79a1f	মাটিৰে তৈয়াৰ কৰা এই সুতুলিৰ অসমীয়া সমাজত এক সুকীয়া আসন আছে।		0	0			Gaonlia		as	
