sentence_id	sentence	sentence_domain	source	is_used	clips_count
0000b6177ecdcb83ce77492cc480a0b29a6364b6b7a131d9921c5f7dd424d702	ওখ চাংখনত লৰা ছোৱালীবোৰ শুৱাই ডাঙৰবোৰে সাৰে থাকে।		Assamese stories.	1	0
001bdfc6639c71eafb18d33f74b2da302503f0cdf8e57e47eb85911311dfdaec	অলপ অৰ্জন, বিস্তাৰ ভোজন; সেই পুৰুষৰ দৰিদ্ৰ লক্ষণ।		অসমীয়া জটুৱা ঠাঁচ 	1	0
0023417f34bd1dbcf0f4c1d039fc8c0fb3f769e5ab2befd51014bdfecdb595fe	গৈ দেখিছিলোঁ কাছাৰী ঘাটৰ সেই বৃহৎ আঁহত গছ জোপাৰ চৌপাশে এজাক মানুহৰ জুম।		Assamese stories.	1	0
0060592567a44e97dbcfd566446d19b8784eff8e84147058da0e02e3bc76607c	মেঘে বিজুলীয়ে আমাক একো অন্যায় নকৰিনে?		sentence-collector	1	0
00b4897a05680e8f44fb9bf52487c909bb1d811cec57043780f108592cea07c8	সাধু শুনি শুনি শিশুটো টোপনি গ'ল।		স্ৱ-উদ্ধৃতি 	1	0
00ce5933546775d0a0321601323ccd20f929696b8d719d6fe31c672ce46d10ae	ফুল কেচুৱাতে মাউৰা।		???? ??????	1	0
010fb22c580bd20da9f73c5e17e57f4595010f6e1341d45899f3bb5ed2053002	পুতেকে দোষ কৰিছিল; সেয়ে দেউতাকে দুখ কৰি আছে।		স্ৱ-উদ্ধৃতি 	1	0
0112dc1676f15d4e683cf5b408a20b52e6165ce326c48d84c5b7575db2e7677e	মই তোমাৰ লগত তালৈ যামেই। 		স্ৱ-উদ্ধৃতি	1	0
013214e2297eb751e82b48e7f111df962a50c1e8cd5026c58ef90a3d51ff3a8e	তুমিয়েই আগবঢ়া।		স্ৱ-উদ্ধৃতি	1	0
015722dac6a8e4f7bdaca999d3c18ec9543c7f762b181955bcc45b1d00a8cdb3	এই বছৰ আছুছৰ কি কি ফ’ন ওলাইছে?	general,technology_robotics	স্ব-উদ্ধৃতি	1	0
0159d481186b20fa690df1232dbf8159b2690cfebdbe9ef36e3abb762eff2da9	হিমালয় পৰ্বতৰ পাদদেশত এখন অটব্য অৰণ্য আছিল।		স্ৱ-উদ্ধৃতি 	1	0
016dff68f88c453017629bbfeb333622611dff5903b47af517f457d427170db6	ন’কিয়াৰ শ্ব’ৰুম ক’ত আছে?	general,technology_robotics	স্ব-উদ্ধৃতি	1	0
01c01a78e887e2becbbd95b1867ce561ce0715f40213aa59257d1b61e50080b8	সি সাহসী ল'ৰা।	language_fundamentals	কথোপকথন 	1	0
01cacf343c4431a6af142b91bbe63638d07ccb1786c407d0d8cd9b7685035d7e	তালৈ নাযাবা দেও।		স্ৱ-উদ্ধৃতি	1	0
01fdd31b89f2da8731ff3774994c83d701427162c15a2dfd1dbdf8c48d7e3bb3	মোৰ ওচৰৰ অপ্প’ৰ শ্ব’ৰুম	general,technology_robotics	স্ব-উদ্ধৃতি	1	0
0237bfa35b27507d8bf62c0c6820618954efc2d92aac0ae5b4daaa2c3f2c13ca	ইমান গৰম পৰিছে,তাতে আকৌ বিদ্যুতে লুকা-ভামুকু কৰি আছে।		স্ৱ-উদ্ধৃতি	1	0
02643358611ed2bda4e4964913c6eadf8d50c9c8472aff63557740a3c43d7715	অ' তুমি পালাহি ! মই গমেই পোৱা নাই।		স্ৱ-উদ্ধৃতি	1	0
027223a0ca1006caeb672eb7c6147eae41613446e3f06b47ba4c8fca94b3ff00	হিমন্তৰ ঘৈণীয়েকে ইমান মাটি-সম্পত্তি কিনিবলৈ ক'ৰ পৰা টকা পাই আছে!		স্ৱ-উদ্ধৃতি	1	0
02853dc096cbc61d0d4a0a47387a79a2bf2306625293eb19bc57ddc713fe2bbc	ধৈৰ্যৰো এটা সীমা আছে !		স্ৱ-উদ্ধৃতি	1	0
02c33288bd971df8be57525a27beaf3c14e9b2260b5448d00e8598dbfc382973	সাগৰ সংগমত , কত' না-সাতুৰিলোঁ ;		ভূপেন হাজৰিকাৰ গীতৰ কলি 	1	0
02e8a37ddb017589dc5010df7fcd08188b973e9ab9ce643e8e66d942ccbfa33f	"""জয় কৃপাবৰ বৰুৱাকি জয়।"""		??? ????-?????	1	0
036aa841e4bef1ecd81277472fa7b0b27f6b7d3d66c404efbed018a017c71ff5	তাইৰ কেইবাটাও মোনা আছে।		স্ৱ-উদ্ধৃতি	1	0
03ef8c172bd9c94738f7df902ba7a3c4fb94fc561f942d1b6e438fe794e4443b	ভগবান আমাৰ সকলো নীগ্ৰো জাতিৰ সহায় হওক।		Assamese Novels	1	0
03fc9b551eb0a5b619a16961d8c6b68c7b451e7da96db6bf89eccf52a22eff9e	এই সামঞ্জস্য য'ত নাই তত সুখ নাই, য'ত আছে তাত সুখ আছে।		???? ??????	1	0
040ed228ce1a5d9c55edb5ad776b331034e2718b817e9bd0b4be5aae2301890f	আজিকালি তেওঁলোকৰ ল'ৰাটোৰ গতি-মতি সলনি হৈ পৰিছে।		স্ৱ-উদ্ধৃতি	1	0
0491800ab3f4e9acb041c8eb7ceaee3eee1e8fd5cee0b5bd4172687cc1fb76c3	শিক্ষা, চিকিৎসা আৰু আইন বিনামূলীয়া হ'ব লাগে।		স্ৱ-উদ্ধৃতি	1	0
04ea81b60479978db3eee8f69e8672f83dec16aede6bddd82122243179f030a5	আম’লেড আৰু অ’লেড ডিছপ্লে’ৰ মাজৰ পাৰ্থক্য	technology_robotics,general	স্ব-উদ্ধৃতি	1	0
04ecfd5d1f471970d7cb1e06f5b70d045b56e5eeaac4c7580859f83842cc238b	এ’চাৰত কেনেকৈ চাকৰি পাব পাৰি?	general,technology_robotics	স্ব-উদ্ধৃতি	1	0
05464f9b7834c4d195df10e86a2a24fd754588942e28662844eb0e08ca2cb737	লেপটপৰ বাবে শ্ৰেষ্ঠ এক্সটাৰ্নেল মনিটৰ	general,technology_robotics	স্ব-উদ্ধৃতি	1	0
0563ba0e8d0d9c6ffc7bd76e25d2c2eea66fa2f26dda616ea696415557e5299c	এদিন তাৰ ঘৈণীয়েকৰ ল'ৰা এটা উপজিলত সি তাৱৈয়েকক সেই বাতৰি দিলেগৈ।		Assamese stories	1	0
0565bb6ac2ea66da88573bfe91dac6bc8aad9e2c0e2df6e578400bd47c72ac97	কপাহীয়ে তাতকে দুমোৰমান মাৰিছিল।		Assamese Novels	1	0
05975931c0718760ed1e5e1b3cec0ddbaf65fc0129b0f36c2c9409137566ac81	যোৱা বছৰ এই নদীখনৰ এইখিনিতে তিনিটাকৈ শিশুৰ সলিল-সমাধি ঘটিছিল।		স্ৱ-উদ্ধৃতি	1	0
059c14564e34ab504814091b9c81e596cc26b5d55b6e114b621b960e8ec3b5f5	অ' বুজিছোঁ, তই মোক বেয়া পাইছ‌‌‌!		স্ৱ-উদ্ধৃতি 	1	0
05acc7afa54f46ced4a9d41ee806a0d1cdeb907e1c5df0966717dc9e3f366bbf	এই গেলা গৰমত মোৰ সুবিধাৰ বাবেহে মই বটলটো আনিছিলোঁ		Sentences from Short Assamese stories	1	0
05bf3272fa705698031e2a359daf7291863285d8a741c5c7a798e2e6fc38b9d5	বেঙৰ কথাত বাৰিষা নাহে।		অসমীয়া ব্যাকৰণ 	1	0
05cd241d4ee2e3f56cc1cd17c2f9b8317ae9cf2c8a780eda9fe56fe795c38927	 অৱস্থা চাই ব্যৱস্থা 		নিজৰ 	1	0
05cd77d3c937ffc768a97a3fc2dcfec9170cbd2ac26cdce4787b64d01925656d	তাতেই মোলৈ অলপ ৰ'বা।		স্ৱ-উদ্ধৃতি	1	0
05d45890ecd40685bfdc3c4b99d008d67d4ad8c411c6f3ff9a4b9b28653e3445	জংঘলৰ মাজেৰে গৈ গৈ সিহঁত ভোকে-ভাগৰে অৱশ হৈ পৰিছিল।		স্ৱ-উদ্ধিতি	1	0
05f62d1cee34c69209a5b80a8c36a353d56f69c074258ef03bbc50d83199d53d	 প্ৰাচীন কালৰ খোদিত বহু অসমীয়া শিলালিপি উদ্ধাৰ হৈছে।		স্ৱ-উদ্ধৃতি 	1	0
0649c8679b56d1ac303f278d9bbce83bc8d849c975231bcca01def698af79713	ৱানপ্লাছৰ শ্ব’ৰুম	technology_robotics,general	স্ব-উদ্ধৃতি	1	0
06510adabbd854b0b8dc556e50768c38c2f6496ab8b80303781d697c0022e137	এই বছৰ ভিভ’ই কি কি ফ’ন লঞ্চ কৰিছে?	technology_robotics,general	স্ব-উদ্ধৃতি	1	0
066686d930d121fe6ffbc295e1b1b3d507c683ba287e709c5fc85ce1db39d421	তথাপি দুয়োৰে কোনো নুঠে, দুয়ো টোপনিৰ ভাও জুৰি নাক ঘোৰ্ঘোৰাই শুই আছে।		Assamese Novels	1	0
068987814d8e2aa011f27ecab15ec71bf27ac1b8030c6cefedfd652afefd0ba2	এয়া হৈছে-অসমীয়াত লিখা বাক্যক  সংশ্লেষণ কৰি ধ্বনি হিচাপে প্ৰকাশ কৰা এটা উদাহৰণ।		স্ৱ-উদ্ধৃতি	1	0
06bc8d8aa150360ec62284bdc59d5762799d6cb3a9d8f9439cd179dac76beda7	কিংষ্ট’নৰ ইউএছবি ষ্টিক	technology_robotics,general	স্ব-উদ্ধৃতি	1	0
06be85c91c59a61a9dfd71420e5d64ffb5d64b47ce3d43f2d5f34589cb0ad835	শুৱনি আমাৰ শুৱালকুছি নগৰ।		স্ৱ-উদ্ধৃতি 	1	0
06cf3d1ca49a570341ea0a377831eb051c1bf2c8d121df10e2fa269aa21bf638	এই সংক্ৰান্তত মোৰ একো ক'বলগীয়া নাই।		স্ৱ-উদ্ধৃতি	1	0
06f5b6bbc034b6a7c37fe5356947ae2c54f953d865fb41c22b310b3191e4b56b	দিনত পানেশৈয়ে বুঢ়ীৰ ঘৰত খুৰী ঘিলাহাঁহ এজনী হৈ থাকে।		Assamese stories	1	0
0742dd5527cf9270aa6cd4a605a81c7cd1391849c36a1e3513b9e34018a1e0cf	এনে সূৰ্য্যকুমাৰেই বা হঠাৎ কিয় এনেবিলাক তেওঁৰ স্বপ্নৰ অগোচৰ কাৰ্য্য কৰিলে?		???? ??????	1	0
0743dcddf89b00eb60994944d341fc4821f9dc0d5ff4e3fb05bebc7fe86fb882	দক্ষিণ এছিয়াৰ বৃহত্তম চহৰ আৰু বিশ্বৰ সৰ্বাপেক্ষা বৰ্ণময় চলচ্চিত্ৰ কেন্দ্ৰৰ পাদপীঠত।		sentence-collector	1	0
07533b4ba1a45c460f7e813dbfa0dc9b29118852f5b8db5644c6d0f884fa7833	ভেকুলীয়ে টোৰটোৰায়।		স্ৱ-উদ্ধৃতি 	1	0
076e657743ddea2d9d2c487bc38ee655e3bd225aebe301f204e938e178734d29	"""প্ৰেম যে ""দিল্লীকা লাড্ডু"" বুলি কয়, তাত এক ধনিষ্টামানো ভুল নাই।"""		???? ??????	1	0
077c1f1d50138bf11decd1cba32c692fe2756af3aae5d5f94bc9802d8a671645	  ব'হাগ বিহু 		নিজৰ 	1	0
077ca622dcbb04fb9c5affa2bbad373cb905538138881a1bfc76cd44d6d71ef9	"""অক্ষ, কক্ষ, যক্ষ, সমকক্ষ , দুৰ্ভিক্ষ , লক্ষ্য "" "		অসমীয়া অভিধান 	1	0
07b6abf6e16b96dad927cf82931e71b67802412084fa35fd9813bb1af5689105	অসমীয়া লোকে প্ৰায় প্ৰতিতো সাঁজতে চাউল ব্যৱহৃত হোৱা দেখা যায়।		Assamese Wikipedia Articles	1	0
07f9496e5a0b843a818283b57835dbf80148286a5a0ed7e15c5c52596a278473	আৰু পৰিবলৈ নিবিচাৰিছিলও।		???? ??????	1	0
07fa50e93a1b6dfebf8c3f4bde95628da1cc0b1fd2e6ee977dc63a5b1033a51f	বেজে মোৰৰ পুথি, বেজালি পুথি লৈ জাৰে, কিন্তু ৰোগী প্ৰায়েই মৰে।		Assamese Novels	1	0
